id,plan_name,network,mvno,mno,basic_data,daily_data,data_exhaustion,voice,message,additional_call,data_sharing,roaming_support,micro_payment,is_esim,signup_minor,signup_foreigner,has_usim,has_nfc_usim,tethering_gb,tethering_status,tethering_data_unit,esim_fee,esim_fee_status,usim_delivery_fee,nfc_usim_delivery_fee,usim_delivery_fee_status,nfc_usim_delivery_fee_status,fee,original_fee,discount_fee,discount_period,post_discount_fee,agreement,agreement_period,agreement_type,num_of_signup,mvno_rating,monthly_review_score,discount_percentage,is_5g,speed_when_exhausted,has_throttled_data,basic_data_unlimited,daily_data_unlimited,basic_data_clean,daily_data_clean,has_daily_allocation,total_data,has_unlimited_data,has_unlimited_speed,any_unlimited_data,unlimited_type,unlimited_type_numeric,throttle_speed_normalized,data_sharing_numeric,roaming_support_numeric,micro_payment_numeric,is_esim_numeric,signup_minor_numeric,signup_foreigner_numeric,voice_unlimited,voice_na,voice_clean,message_unlimited,message_na,message_clean,usim_supported,usim_is_free,nfc_usim_supported,nfc_usim_is_free,esim_supported,esim_is_free,price_per_gb,price_unlimited_adjusted,monthly_price,has_agreement
22833,수다맘껏데이터7G+,LTE,모나,LGU,7.0,0.0,1Mbps,9999,9999,300.0,False,True,True,False,False,False,,,7.0,PROVIDED,GB,2750.0,UNSUPPORTED,0,0,UNSUPPORTED,FREE_ON_ACTIVATION,9900,22000,9900,8,22000,False,0.0,,426,4.4,4.5,55.0,0,1.0,1,0,0,7.0,0.0,0,7.0,0,0,1,throttled_unlimited,2,0.1,0,1,1,0,0,0,1,0,3000,1,0,2000,0,0,1,1,0,0,1320.0,7920.0,9900,0
24201,[모요only] 5G 200분/15GB,5G,고고모바일,KT,15.0,2.0,없음,200,100,0.0,False,True,True,True,False,False,,,15.0,PROVIDED,GB,2750.0,PAID,0,8800,FREE,PAID,9900,25740,9900,7,25740,True,120.0,day,1661,4.2,9.9,61.53846153846154,1,0.0,0,0,0,15.0,0.0,0,15.0,0,0,0,limited,0,0.0,0,1,1,1,0,0,0,0,200,0,0,100,1,1,1,0,1,0,660.0,18480.0,9900,1
28940,[셀프] LTE 유심 (1GB+),LTE,sk7mobile,SKT,1.0,2.0,1Mbps,9999,9999,0.0,False,True,True,True,True,True,,,1.0,CONTACT_MOBILE_PLAN_OPERATOR,GB,2750.0,PAID,6600,8800,PAID,PAID,9920,9920,9920,0,0,False,0.0,,866,4.0,0.0,0.0,0,1.0,1,0,0,1.0,0.0,0,1.0,0,0,1,throttled_unlimited,2,0.1,0,1,1,1,1,1,1,0,3000,1,0,2000,1,0,1,0,1,0,1320.0,7936.0,9920,0
13765,함께이야기해(500분+10GB),LTE,이야기모바일,LGU,10.0,2.0,없음,500,100,0.0,False,True,True,False,False,False,,,0.0,NOT_PROVIDED,GB,2750.0,UNSUPPORTED,4400,7700,PAID,PAID,9900,16500,9900,12,16500,False,0.0,,48,4.4,9.9,40.0,0,0.0,0,0,0,10.0,0.0,0,10.0,0,0,0,limited,0,0.0,0,1,1,0,0,0,0,0,500,0,0,100,1,0,1,0,0,0,990.0,18480.0,9900,0
28989,[매월 10GB 추가제공] EG CU 무제한 15G+1,LTE,이지모바일,KT,15.0,2.0,1Mbps,9999,9999,300.0,False,True,True,True,True,True,,,15.0,PROVIDED,GB,2750.0,PAID,0,7700,FREE_ON_ACTIVATION,PAID,13000,25850,13000,7,25850,False,0.0,,284,4.3,9.9,49.70986460348163,0,1.0,1,0,0,15.0,0.0,0,15.0,0,0,1,throttled_unlimited,2,0.1,0,1,1,1,1,1,1,0,3000,1,0,2000,1,1,1,0,1,0,1320.0,10400.0,13000,0
25304,USIM 스마일 (500분/10GB),LTE,smartel,SKT,10.0,2.0,없음,500,100,0.0,False,False,False,False,True,True,,,10.0,PROVIDED,GB,2750.0,UNSUPPORTED,2200,4400,PAID,PAID,9900,20900,9900,5,20900,False,0.0,,21,4.2,9.9,52.63157894736842,0,0.0,0,0,0,10.0,0.0,0,10.0,0,0,0,limited,0,0.0,0,0,0,0,1,1,0,0,500,0,0,100,1,0,1,0,0,0,990.0,18480.0,9900,0
17509,안심 USIM 7GB+/음성기본,LTE,에스원안심모바일,SKT,7.0,2.0,1Mbps,9999,9999,0.0,False,True,True,False,True,False,,,7.0,PROVIDED,GB,2750.0,UNSUPPORTED,0,7700,UNSUPPORTED,PAID,9900,23100,9900,7,23100,False,0.0,,36,5.0,0.0,57.142857142857146,0,1.0,1,0,0,7.0,0.0,0,7.0,0,0,1,throttled_unlimited,2,0.1,0,1,1,0,1,0,1,0,3000,1,0,2000,0,0,1,0,0,0,1320.0,7920.0,9900,0
29476,[S] 5G 모빙 500분15GB,5G,mobing,SKT,15.0,2.0,없음,500,100,0.0,False,True,False,True,True,False,,,0.0,NOT_PROVIDED,GB,2750.0,PAID,2200,6600,PAID,PAID,9900,37400,9900,7,37400,False,0.0,,0,4.3,0.0,73.52941176470588,1,0.0,0,0,0,15.0,0.0,0,15.0,0,0,0,limited,0,0.0,0,1,0,1,1,0,0,0,500,0,0,100,1,0,1,0,1,0,660.0,18480.0,9900,0
25268,USIM 스마일 5G망 (500분/10GB),5G,smartel,SKT,10.0,2.0,없음,500,100,0.0,False,False,False,False,True,True,,,10.0,PROVIDED,GB,2750.0,UNSUPPORTED,2200,4400,PAID,PAID,9900,20900,9900,5,20900,False,0.0,,27,4.2,9.9,52.63157894736842,1,0.0,0,0,0,10.0,0.0,0,10.0,0,0,0,limited,0,0.0,0,0,0,0,1,1,0,0,500,0,0,100,1,0,1,0,0,0,990.0,18480.0,9900,0
27386,보이스안심요금제(500분/2GB),LTE,아이즈모바일,LGU,2.0,2.0,없음,500,50,0.0,False,True,False,True,True,False,,,2.0,PROVIDED,GB,2750.0,PAID,5500,8800,PAID,PAID,10000,10000,10000,0,0,False,0.0,,16,4.1,0.0,0.0,0,0.0,0,0,0,2.0,0.0,0,2.0,0,0,0,limited,0,0.0,0,1,0,1,1,0,0,0,500,0,0,50,1,0,1,0,1,0,5000.0,18480.0,10000,0
27770,[모요only] 무제한 7GB+1M(매월 네이버페이5000P),LTE,고고모바일,KT,7.0,2.0,1Mbps,9999,9999,300.0,False,True,True,True,False,False,,,7.0,PROVIDED,GB,2750.0,PAID,0,8800,FREE,PAID,10010,22000,10010,7,22000,True,120.0,day,216,4.2,9.9,54.5,0,1.0,1,0,0,7.0,0.0,0,7.0,0,0,1,throttled_unlimited,2,0.1,0,1,1,1,0,0,1,0,3000,1,0,2000,1,1,1,0,1,0,1320.0,8008.0,10010,1
20402,[K]무한7GB+ Npay,LTE,아이즈모바일,KT,7.0,2.0,1Mbps,9999,9999,300.0,False,True,True,True,True,False,,,7.0,PROVIDED,GB,2750.0,PAID,5500,8800,PAID,PAID,10010,26400,10010,7,26400,False,0.0,,609,4.1,0.0,62.083333333333336,0,1.0,1,0,0,7.0,0.0,0,7.0,0,0,1,throttled_unlimited,2,0.1,0,1,1,1,1,0,1,0,3000,1,0,2000,1,0,1,0,1,0,1320.0,8008.0,10010,0
29479,쏙쏙 100분(10GB),LTE,mobing,KT,10.0,2.0,없음,100,100,0.0,False,True,False,True,True,False,,,0.0,NOT_PROVIDED,GB,2750.0,PAID,2200,7700,PAID,PAID,10200,10200,10200,0,0,False,0.0,,0,4.3,0.0,0.0,0,0.0,0,0,0,10.0,0.0,0,10.0,0,0,0,limited,0,0.0,0,1,0,1,1,0,0,0,100,0,0,100,1,0,1,0,1,0,1020.0,18480.0,10200,0
18735,데이터안심10G,LTE,프리티,KT,10.0,2.0,없음,9999,300,0.0,False,True,True,False,True,True,,,10.0,PROVIDED,GB,2750.0,UNSUPPORTED,5500,7700,PAID,PAID,9900,22000,9900,7,22000,False,0.0,,62,4.3,0.0,55.0,0,0.0,0,0,0,10.0,0.0,0,10.0,0,0,0,limited,0,0.0,0,1,1,0,1,1,1,0,3000,0,0,300,1,0,1,0,0,0,990.0,18480.0,9900,0
29021,LTE 음성무제한 20GB,LTE,smartel,SKT,20.0,2.0,없음,9999,200,0.0,False,False,False,False,True,True,,,20.0,PROVIDED,GB,2750.0,UNSUPPORTED,2200,4400,PAID,PAID,9900,25300,9900,7,25300,False,0.0,,15,4.2,9.9,60.869565217391305,0,0.0,0,0,0,20.0,0.0,0,20.0,0,0,0,limited,0,0.0,0,0,0,0,1,1,1,0,3000,0,0,200,1,0,1,0,0,0,495.0,18480.0,9900,0
24008,티플 위드유 10GB＋(G car)_12개월할인,LTE,tplus,SKT,10.0,2.0,1Mbps,9999,9999,0.0,False,True,False,True,True,False,,,0.0,CONTACT_MOBILE_PLAN_OPERATOR,GB,2750.0,PAID,5500,8800,PAID,PAID,10000,29700,10000,12,29700,False,0.0,,565,4.2,4.1,66.32996632996633,0,1.0,1,0,0,10.0,0.0,0,10.0,0,0,1,throttled_unlimited,2,0.1,0,1,0,1,1,0,1,0,3000,1,0,2000,1,0,1,0,1,0,1320.0,8000.0,10000,0
29307,[모요only] 스피드업 7GB+1M(지니뮤직)/7개월,LTE,스피츠모바일,KT,7.0,2.0,1Mbps,9999,9999,300.0,False,True,True,False,True,True,,,7.0,PROVIDED,GB,2750.0,PAID,6600,0,PAID,UNSUPPORTED,10010,22550,10010,7,22550,False,0.0,,96,0.0,0.0,55.609756097560975,0,1.0,1,0,0,7.0,0.0,0,7.0,0,0,1,throttled_unlimited,2,0.1,0,1,1,0,1,1,1,0,3000,1,0,2000,1,0,0,0,1,0,1320.0,8008.0,10010,0
24431,완전마음껏 7GB＋＋(네이버페이 매월 5000P),LTE,tplus,KT,7.0,2.0,1Mbps,9999,9999,0.0,False,True,True,True,True,False,,,0.0,CONTACT_MOBILE_PLAN_OPERATOR,GB,2750.0,PAID,5500,8800,PAID,PAID,10010,27500,10010,7,27500,False,0.0,,892,4.2,4.1,63.6,0,1.0,1,0,0,7.0,0.0,0,7.0,0,0,1,throttled_unlimited,2,0.1,0,1,1,1,1,0,1,0,3000,1,0,2000,1,0,1,0,1,0,1320.0,8008.0,10010,0
20321,함께이야기해S(100분+15GB),LTE,이야기모바일,SKT,15.0,2.0,없음,100,150,0.0,False,True,False,False,False,False,,,0.0,NOT_PROVIDED,GB,2750.0,UNSUPPORTED,4400,7700,PAID,PAID,9900,19250,9900,7,19250,False,0.0,,101,4.4,9.9,48.57142857142857,0,0.0,0,0,0,15.0,0.0,0,15.0,0,0,0,limited,0,0.0,0,1,0,0,0,0,0,0,100,0,0,150,1,0,1,0,0,0,660.0,18480.0,9900,0
15945,더든든한200분15G,LTE,프리티,KT,15.0,2.0,없음,200,100,0.0,False,True,True,False,True,True,,,15.0,PROVIDED,GB,2750.0,UNSUPPORTED,5500,7700,PAID,PAID,9900,24200,9900,10,24200,False,0.0,,1131,4.3,0.0,59.09090909090909,0,0.0,0,0,0,15.0,0.0,0,15.0,0,0,0,limited,0,0.0,0,1,1,0,1,1,0,0,200,0,0,100,1,0,1,0,0,0,660.0,18480.0,9900,0
29474,5G 쏙쏙 300분20GB,5G,mobing,KT,20.0,2.0,없음,300,100,0.0,False,True,False,True,True,False,,,0.0,NOT_PROVIDED,GB,2750.0,PAID,2200,7700,PAID,PAID,9900,34100,9900,5,34100,False,0.0,,0,4.3,0.0,70.96774193548387,1,0.0,0,0,0,20.0,0.0,0,20.0,0,0,0,limited,0,0.0,0,1,0,1,1,0,0,0,300,0,0,100,1,0,1,0,1,0,495.0,18480.0,9900,0
27387,보이스안심요금제(500분/2GB),LTE,아이즈모바일,SKT,2.0,2.0,없음,500,50,0.0,False,True,False,True,True,False,,,0.0,NOT_PROVIDED,GB,2750.0,PAID,5500,8800,PAID,PAID,10000,10000,10000,0,0,False,0.0,,16,4.1,0.0,0.0,0,0.0,0,0,0,2.0,0.0,0,2.0,0,0,0,limited,0,0.0,0,1,0,1,1,0,0,0,500,0,0,50,1,0,1,0,1,0,5000.0,18480.0,10000,0
